id,command,arg0<jpn>,arg1<jpn>,arg2,arg3,arg4
-,,,
meguru1-1,bg,scenario16
meguru1-6,talk,meguru,で、でも、また見かけたら
meguru1-6,talk,meguru,声、かけてほしいっす......
meguru1-6,talk,natsuno,うん
meguru1-6,talk,natsuno,そのときに、また描いてるもの見せてね
meguru1-6,talk,meguru,う......つらくなってきた......
meguru1-6,talk,natsuno,......
meguru1-6,fg,survivor00,right-right,0.5,default
meguru1-6,talk,natsuno,じゃあね
meguru1-6,talk,meguru,はい......
meguru1-6,talk,meguru,お疲れさまでした......
meguru1-6,fg,survivor00,right-right,0.5,zito
meguru1-6,talk,natsuno,......
meguru1-6,wait,2
meguru1-6,fadeOut,1
meguru1-6,newPage
meguru1-6,fgRemove,survivor04,0
meguru1-6,wait,1
meguru1-6,fadeIn,1
meguru1-6,wait,1
meguru1-6,talk,natsuno,......ほんとに顔青くしてたけど
meguru1-6,talk,natsuno,あんなのでやっていけるのかな
meguru1-6,talk,natsuno,......
meguru1-6,fg,survivor00,right-right,0.5,default
meguru1-6,talk,natsuno,ま、切り替え早いし、そもそも今までずっと一人だったんだし
meguru1-6,talk,natsuno,大丈夫なんだろうけど
meguru1-6,talk,natsuno,......
meguru1-6,talk,natsuno,なんか、意外なことばっかだったな
meguru1-6,talk,natsuno,絵描く人って、みんなあんなこと考えてるのかな
meguru1-6,talk,natsuno,メグルが特殊な気もする
meguru1-6,talk,natsuno,わたしの周りには、ああいう人いなかったから、よくわかんないな......
meguru1-6,talk,natsuno,わたしは......
meguru1-6,talk,natsuno,あんな風に、自分がずっと昔からの流れの一部にいるって思えるの羨ましいっていうか
meguru1-6,talk,natsuno,すごいなって思うけど
meguru1-6,talk,natsuno,メグルみたいな人は、それが嫌だったり、苦しかったりすることもあるんだろうな
meguru1-6,talk,natsuno,いろんな家庭があって、いろんな人がいるよね
meguru1-6,talk,natsuno,わたしも、メグルとは違うけど、いろんなもの受け継いでるのかなぁ
meguru1-6,talk,natsuno,んー......
meguru1-6,talk,natsuno,わかんない
meguru1-6,talk,natsuno,思い当たること、全然なし
meguru1-6,talk,natsuno,......いつか
meguru1-6,talk,natsuno,これって親の影響かも、って思うことに気づいたりするのかな
meguru1-6,wait,3
meguru1-6,removeSurvivor,meguru
meguru1-6,end,ending,meguru1
-,,,
